"Tahun_Bekerja","Gaji"
"2","77206.25"
"3","61048.53"
"1","111981.19"
"1","156105.03"
"3","150135.38"
"5","93146.11"
"6","33462.94"
"2","144375"
"3","55803.96"
"2","89048.46"
"2","162812.16"
"4","136259.65"
"5","124052.97"
"8","74158.8"
"6","45071.09"
"7","62030.06"
"10","131953.23"
"7","79414"
"1","199638.56"
"8","157577.29"
"8","134420.75"
"5","99805.99"
"1","97932.68"
"2","57558.95"
"8","176713.47"
"10","198637.34"
"6","156917.12"
"6","50457.2"
"3","140075.55"
"9","65323.11"
"6","64323.24"
"6","14956.44"
"9","18606.23"
"9","123137.01"
"2","148528.24"
"7","13898.31"
"7","81259.25"
"7","161051.75"
"9","191599.67"
"3","48559.19"
"1","186339.74"
"8","33159.37"
"4","93883.53"
"7","110899.3"
"3","11199.04"
"10","189992.97"
"6","164255.69"
"1","152167.79"
"8","33949.67"
"10","68143.93"
"4","47251.79"
"7","25885.72"
"8","192633.85"
"7","34577.36"
"5","161229.84"
"8","100816.29"
"5","181694.44"
"10","79078.91"
"9","137316.32"
"5","194926.86"
"7","51285.49"
"9","150401.53"
"3","112491.96"
"2","73656.38"
"4","106636.89"
"7","155853.52"
"5","103737.82"
"10","160990.27"
"6","15462.84"
"8","10334.05"
"6","190686.16"
"4","94440.45"
"1","28257.63"
"2","170034.95"
"7","31824.29"
"4","127166.49"
"8","44937.01"
"4","188603.07"
"6","145111.37"
"3","171463.83"
"2","87213.33"
"3","57175.32"
"2","120540.83"
"9","28714.34"
"3","85426.28"
"4","46170.75"
"2","64448.36"
"8","16278.97"
"1","182855.42"
"4","50404.72"
"3","107640.25"
"4","134132.65"
"2","103480.69"
"9","108761.05"
"1","179012.3"
"7","95145.14"
"7","72143.44"
"1","19162.89"
"2","144680.18"
"8","177772.03"
"6","5597.94"
"7","116828.51"
"3","174652.51"
"2","2010.98"
"5","14109.85"
"10","43527.4"
"6","86099.23"
"4","161574.19"
"5","38970.14"
"8","127587.22"
"7","30380.12"
"7","90908.95"
"9","138275.01"
"3","32171.79"
"1","126143.23"
"5","129892.93"
"3","102416.84"
"2","18719.67"
"7","61936.22"
"6","78358.94"
"1","147224.27"
"8","132298.49"
"9","174248.52"
"1","123547.28"
"3","32790.02"
"3","181543.67"
"2","2319.96"
"9","189543.19"
"9","10940.4"
"9","199493.38"
"3","188193.25"
"9","172572.64"
"8","189339.6"
"2","53512.16"
"2","34004.44"
"4","10598.29"
"1","113428.77"
"1","187658.09"
"7","172459.39"
"8","21016"
"10","122381.02"
"4","128123.66"
"2","19570.63"
"2","188150.6"
"9","111020.24"
"7","123775.15"
"10","146700.22"
"8","145251.35"
"3","82463.69"
"9","15928.49"
"6","45886.33"
"2","186489.95"
"2","162922.65"
"10","9262.77"
"7","84932.4"
"3","71557.12"
"9","77405.95"
"8","417.41"
"2","153400.24"
"3","371.05"
"8","67789.99"
"9","145894.9"
"1","183840.51"
"1","108887.44"
"4","154071.27"
"8","179291.85"
"6","56937.43"
"8","112239.03"
"9","45909.87"
"9","173779.25"
"4","125696.26"
"10","159585.61"
"3","106761.47"
"10","129590.18"
"1","80006.65"
"3","140451.52"
"9","187929.43"
"8","167155.36"
"8","191420.71"
"5","11384.45"
"9","94898.1"
"6","106781.59"
"6","159508.52"
"3","93524.19"
"2","87168.46"
"7","8128.32"
"4","125518.32"
"9","48963.59"
"9","98368.24"
"10","148584.61"
"9","76192.21"
"1","134600.94"
"3","72467.99"
"2","199645.45"
"8","136050.44"
"8","73564.44"
"3","85578.63"
"4","129826.89"
"10","119666"
"2","68052.08"
"3","164104.74"
"3","80190.36"
"9","84126.75"
"7","70179"
"2","118024.1"
"3","145704.19"
"1","183049.41"
"2","120906.83"
"4","100433.83"
"6","138777"
"6","124694.99"
"7","40084.32"
"9","119232.33"
"7","43921.36"
"3","62222.81"
"6","56577"
"5","164253.35"
"3","7666.73"
"3","68487.51"
"1","199273.98"
"8","186062.36"
"1","195711.16"
"3","36692.17"
"3","106920.57"
"4","48725.68"
"4","167036.94"
"9","68777.26"
"9","18924.92"
"5","71905.77"
"8","64833.28"
"3","184843.77"
"10","176730.02"
"1","20629.4"
"2","28415.36"
"8","77231.27"
"1","102750.7"
"6","34580.8"
"1","183598.77"
"8","147358.27"
"7","108469.2"
"4","20612.82"
"6","181196.76"
"5","160249.1"
"8","110783.28"
"9","144995.33"
"9","150227.85"
"7","75248.3"
"3","14353.43"
"2","130486.57"
"9","100127.71"
"1","196356.17"
"2","9983.88"
"4","118974.77"
"6","194998.34"
"2","134901.34"
"8","72924.56"
"6","101057.95"
"5","142838.64"
"8","127059.04"
"8","116503.92"
"4","54405.79"
"5","88721.84"
"5","74135.48"
"9","111346.22"
"4","194902.16"
"5","31474.27"
"7","21198.39"
"6","186976.6"
"5","117202.19"
"2","143739.29"
"10","161811.23"
"6","98090.91"
"5","71095.41"
"6","13107.24"
"3","67110.59"
"9","88225.02"
"10","62256.87"
"7","135925.72"
"4","177815.87"
"6","126471.13"
"1","188574.12"
"7","119175.45"
"5","139093.73"
"8","115916.55"
"3","96463.25"
"2","112349.51"
"2","165303.79"
"8","166031.08"
"3","38411.79"
"1","77783.35"
"2","29871.79"
"4","59747.63"
"6","79919.13"
"10","76773.53"
"7","54018.93"
"1","70649.64"
"10","59093.39"
"9","127569.8"
"5","18260.98"
"1","73275.96"
"8","136129.49"
"9","153237.59"
"4","106841.12"
"7","87822.14"
"2","126644.98"
"7","41879.99"
"7","75808.1"
"1","47911.03"
"3","28737.78"
"6","2079.2"
"10","121562.33"
"7","55003.79"
"3","193131.42"
"3","191932.27"
"5","159418.1"
"3","191468.78"
"3","38913.68"
"5","705.18"
"7","138490.03"
"1","82970.69"
"8","76744.72"
"1","71244.59"
"6","12182.15"
"4","141210.5"
"2","191763.07"
"1","37938.74"
"5","74890.58"
"7","166698.18"
"1","62678.53"
"1","67740.08"
"9","161519.77"
"10","159835.78"
"3","30876.84"
"8","14858.1"
"3","75685.97"
"4","144183.1"
"6","65170.66"
"2","82526.92"
"8","169161.46"
"2","109291.39"
"3","6057.81"
"9","77077.14"
"1","54954.51"
"2","179614.8"
"9","35588.07"
"5","117356.14"
"1","160696.72"
"6","147278.43"
"7","56594.36"
"8","1299.75"
"9","25095.03"
"4","146326.45"
"4","38296.21"
"2","164061.6"
"9","107811.28"
"9","30838.51"
"5","9221.78"
"4","33738.27"
"8","110916.15"
"7","169654.57"
"9","69829.4"
"5","54926.51"
"10","94728.49"
"9","80393.27"
"4","111307.98"
"10","19834.32"
"5","78397.24"
"2","86410.28"
"10","172749.65"
"6","1002.39"
"2","13601.79"
"1","77866.91"
"8","175296.76"
"6","89593.26"
"8","193437.89"
"7","86945"
"8","183318.79"
"9","71154.1"
"10","151887.16"
"5","75888.65"
"3","89566.74"
"2","26475.79"
"7","126355.8"
"1","93839.3"
"2","7698.6"
"1","145593.85"
"3","45042.56"
"1","61108.56"
"6","57553.98"
"10","62674.42"
"3","12120.79"
"6","50129.87"
"5","55022.43"
"1","117834.91"
"1","168840.23"
"10","24234.11"
"4","190627.01"
"5","156618.38"
"5","42334.38"
"1","110784.42"
"5","173683"
"9","27046.46"
"8","20598.59"
"3","104991.28"
"7","8996.97"
"4","64420.5"
"6","145700.22"
"4","196335.48"
"7","14781.12"
"3","108139.23"
"4","19287.06"
"8","9567.39"
"8","132210.49"
"6","21600.11"
"1","199661.5"
"9","124341.49"
"6","15766.1"
"3","33642.21"
"8","117704.65"
"2","58803.28"
"4","137537.22"
"1","131300.68"
"9","84174.81"
"3","160941.78"
"3","143954.99"
"3","56297.85"
"5","8404.73"
"3","30020.09"
"9","58137.42"
"6","19131.71"
"5","187288.5"
"5","17603.81"
"4","67020.03"
"7","147802.94"
"1","41610.62"
"3","44255.65"
"5","78416.14"
"5","137254.55"
"4","151303.48"
"8","86333.63"
"9","89801.9"
"2","29358.57"
"2","181600.72"
"5","124118.71"
"7","38867.46"
"5","31106.67"
"1","67611.36"
"1","77837.63"
"8","6078.46"
"6","177896.92"
"2","123882.73"
"6","15304.08"
"1","76569.64"
"1","120657.32"
"2","16436.56"
"5","95611.47"
"7","19799.26"
"2","123214.74"
"1","71709.12"
"2","149066.14"
"5","20451.99"
"4","32825.5"
"4","6232.31"
"8","10357.03"
"3","147794.63"
"6","129964.94"
"1","92816.86"
"3","172114.67"
"3","16649.31"
"9","144517.19"
"4","182038.6"
"5","24210.56"
"10","172175.9"
"5","47578.45"
"2","150694.42"
"6","177683.02"
"1","66088.83"
"2","169291.7"
"3","117140.41"
"10","79510.37"
"9","77108.66"
"7","9679.28"
"5","81753.92"
"1","131372.38"
"6","25310.82"
"10","187925.75"
"3","98820.39"
"9","64166.7"
"7","176924.21"
"6","90055.08"
"6","72814.31"
"2","168290.06"
"6","161767.38"
"8","44420.18"
"7","37147.61"
"8","125381.02"
"7","149853.89"
"2","161435.02"
"8","102925.76"
"5","70899.27"
"2","145936.28"
"5","54227.06"
"2","59280.79"
"4","126952.5"
"9","73294.48"
"7","3937.37"
"2","2383.59"
"5","14279.44"
"9","141300.53"
"2","78140.75"
"2","117431.1"
"9","72008.61"
"5","60887.58"
"5","194764.83"
"5","88705.14"
"6","35817.97"
"1","31520.4"
"2","157908.19"
"2","142200.15"
"2","182055.36"
"9","157552.08"
"2","120284.67"
"1","24506.95"
"2","47271.61"
"4","41176.6"
"2","9468.64"
"3","123880.19"
"6","158887.09"
"7","117036.38"
"7","120415.61"
"9","16064.25"
"8","52615.62"
"8","121210.09"
"8","192247.35"
"1","68759.57"
"2","75937.47"
"8","84569.13"
"7","190696.35"
"5","67468.67"
"1","104435.94"
"2","47166.55"
"8","173498.45"
"2","93249.26"
"3","142917.54"
"6","111755.8"
"1","108543.21"
"1","180345.44"
"8","99444.02"
"9","109563.28"
"3","92568.07"
"6","37976.36"
"9","103315.74"
"7","173952.5"
"7","46163.44"
"9","140676.98"
"4","151738.54"
"9","14679.81"
"5","181964.6"
"10","136886.86"
"6","122218.23"
"10","180439.75"
"7","190419.81"
"3","58685.59"
"8","89017.38"
"2","50051.42"
"5","146041.45"
"8","191166.09"
"2","103516.08"
"9","164825.04"
"6","172557.77"
"4","84320.94"
"5","122662.98"
"8","72085.1"
"9","110932.24"
"4","143635.36"
"8","3710.34"
"5","179843.33"
"1","10643.38"
"2","131167.98"
"10","10553.31"
"6","130928.22"
"5","157003.99"
"1","138527.56"
"3","167032.49"
"6","41642.29"
"2","9677"
"3","147012.22"
"5","80553.87"
"3","30730.95"
"4","140134.43"
"6","91936.1"
"1","178252.63"
"8","198674.08"
"5","28266.9"
"3","92381.01"
"7","135180.11"
"6","27330.59"
"5","125305.34"
"1","149648.45"
"1","45041.32"
"1","113316.77"
"8","39087.42"
"6","7330.59"
"8","95463.29"
"4","167848.02"
"5","93953.84"
"7","174227.66"
"9","135399.21"
"1","195635.3"
"8","97508.04"
"2","188083.77"
"7","116704.25"
"6","97614.87"
"4","186884.04"
"10","131501.72"
"1","24302.95"
"1","110510.28"
"6","108488.33"
"4","197015.2"
"8","27689.77"
"7","9217.55"
"2","15068.18"
"7","7797.01"
"5","4400.32"
"9","182025.95"
"1","122763.95"
"4","38152.01"
"3","63163.99"
"9","73418.29"
"6","17978.68"
"4","115136.51"
"6","149575.59"
"4","60917.24"
"7","142548.33"
"7","157878.67"
"2","18657.77"
"3","134589.58"
"8","10350.74"
"8","66013.27"
"2","5907.11"
"9","74077.91"
"3","77294.56"
"8","54359.02"
"5","156124.93"
"8","94820.85"
"6","155155.25"
"2","128702.1"
"2","22745.5"
"1","71865.31"
"7","84294.82"
"7","149139.13"
"5","185489.11"
"4","176407.15"
"9","92027.69"
"6","43932.54"
"1","115789.25"
"10","125777.28"
"7","18461.9"
"6","79633.38"
"6","121542.29"
"4","94739.2"
"1","93302.29"
"10","193793.78"
"6","74835.65"
"6","56999.9"
"3","57236.44"
"3","81483.64"
"9","26752.56"
"5","9200.54"
"1","22447.85"
"5","189122.89"
"1","16161.82"
"9","68600.36"
"1","447.73"
"3","15650.73"
"5","149599.62"
"8","90304.01"
"7","115676.38"
"6","38812.67"
"9","34338.21"
"8","823.36"
"1","135482.26"
"9","10656.89"
"3","116467.35"
"8","96823.32"
"5","171096.2"
"4","79881.39"
"10","157862.82"
"1","127951.81"
"8","191074.11"
"6","157333.69"
"8","133457.52"
"8","130789.6"
"5","128373.88"
"4","194273.2"
"5","5684.17"
"4","131043.2"
"3","21228.34"
"8","43250.3"
"8","4389.4"
"9","189271.9"
"2","156774.94"
"4","69865.49"
"8","51219.8"
"8","7222.92"
"6","23971.33"
"1","132173.31"
"4","113639.64"
"7","39768.59"
"4","108732.96"
"4","117349.19"
"5","78004.5"
"6","152417.79"
"9","26057.08"
"3","79972.09"
"9","107125.79"
"10","47679.14"
"3","134509.47"
"5","153265.31"
"7","179883.04"
"5","138882.98"
"8","9855.81"
"8","67046.83"
"4","56388.63"
"8","77764.37"
"7","130590.35"
"7","777.37"
"6","69454.24"
"1","11723.57"
"9","91565.25"
"1","79616.37"
"7","104533.51"
"3","140765.57"
"5","66214.13"
"2","139816.1"
"3","140139.28"
"7","102297.15"
"9","145765.83"
"9","83912.24"
"3","78439.73"
"7","6776.92"
"4","9903.42"
"1","91561.91"
"8","4027.02"
"10","116111.51"
"1","184023.54"
"3","67124.48"
"7","50070.59"
"5","53793.1"
"6","45261.47"
"7","36721.4"
"6","130009.85"
"10","127847.25"
"3","138231.7"
"4","48673.18"
"4","70668.77"
"3","199505.53"
"5","169583.18"
"7","49063.42"
"7","63337.19"
"5","60083.11"
"1","48606.71"
"6","165580.93"
"6","194010.12"
"1","69263.1"
"3","88698.83"
"4","63030.97"
"4","59668.81"
"6","184230.23"
"9","81853.98"
"10","154642.91"
"1","145679.6"
"3","30781.77"
"4","81622.52"
"1","196474.35"
"3","176276.1"
"2","64299.82"
"1","180969.55"
"1","138176.78"
"3","86733.61"
"3","7418.92"
"5","166376.54"
"7","140881.2"
"1","4460.2"
"4","110472.12"
"6","86460.28"
"1","16500.66"
"4","114020.06"
"5","131660.31"
"3","52449.62"
"4","161465.31"
"2","20018.79"
"3","176318.27"
"6","50488.91"
"7","30379.6"
"3","161326.73"
"3","45348.08"
"1","180251.68"
"8","34925.56"
"7","126555.74"
"8","187921.3"
"4","136390.88"
"9","78566.64"
"5","166038.27"
"4","140385.33"
"4","38629.3"
"10","24998.75"
"4","128815.33"
"6","19376.56"
"7","31904.31"
"5","173179.79"
"8","22485.64"
"6","196668.51"
"6","136506.86"
"7","36278.89"
"6","163254.39"
"8","99654.13"
"3","20207.02"
"8","4195.84"
"10","112340.2"
"7","2035.94"
"8","132295.95"
"5","90284.47"
"8","61349.37"
"5","196466.83"
"2","70758.37"
"10","13892.57"
"2","9684.52"
"3","40546.15"
"4","136603.42"
"7","133172.48"
"4","152821.12"
"4","147715.83"
"4","76755.99"
"3","73406.04"
"6","176728.28"
"4","98309.27"
"7","6203.66"
"2","176791.27"
"9","50679.48"
"7","150580.88"
"2","80120.19"
"7","151645.96"
"3","55072.32"
"2","115068.99"
"1","149471.13"
"7","46522.68"
"4","189995.86"
"1","30722.52"
"3","70810.6"
"8","106663.46"
"8","175836.03"
"5","85646.41"
"8","101485.72"
"1","191734.67"
"7","101839.77"
"2","4888.91"
"4","193132.98"
"4","193518.76"
"1","93982.02"
"1","197000.92"
"7","106837.06"
"1","115161.28"
"8","196260.3"
"3","96404.38"
"2","97658.66"
"7","49108.23"
"1","195651.66"
"9","111698"
"4","66721.98"
"2","57876.05"
"6","177994.81"
"5","105125.65"
"4","17439.66"
"9","172668.39"
"1","753.37"
"5","98686.4"
"5","107047.92"
"9","152153.74"
"9","34338.04"
"4","173878.87"
"8","159254.29"
"3","54776.64"
"5","134594.99"
"3","41724.72"
"4","110527.71"
"6","8996.79"
"4","190200.53"
"2","115333.43"
"7","143619.52"
"2","58467.08"
"3","12128.69"
"3","49872.33"
"1","139735.54"
"9","60891.8"
"10","100862.54"
"8","76640.29"
"6","126013.58"
"9","87347.82"
"5","77370.37"
"5","196257.68"
"1","81723.8"
"10","31299.71"
"2","63495.86"
"8","166520.96"
"6","150242.44"
"3","87000.39"
"3","44912.7"
"5","179978.68"
"5","145759.7"
"9","14121.61"
"1","66232.23"
"4","190296.76"
"1","172782.69"
"6","99128.13"
"7","178341.33"
"5","146992.24"
"1","151314.98"
"7","92915.84"
"3","58974"
"3","174627.06"
"9","79579.94"
"2","50771.16"
"5","153537.55"
"1","132975.39"
"3","85208.93"
"4","170214.82"
"6","100615.14"
"7","186105.99"
"2","55119.53"
"4","28760.99"
"6","171021.44"
"9","176678.72"
"7","28667.56"
"6","197238.03"
"2","139994.68"
"5","151169.83"
"2","118113.64"
"7","34453.17"
"10","64872.33"
"5","10956.82"
"4","36885.85"
"6","168053.4"
"7","155227"
"7","38409.79"
"5","75279.39"
"6","158302.59"
"4","11525.72"
"6","94993.04"
"8","173912.29"
"5","41139.05"
"3","58019.95"
"5","164128.41"
"5","46998.13"
"7","177279.41"
"2","75832.53"
"1","61094.53"
"1","30117.44"
"8","179227.12"
"6","52110.45"
"6","75248.75"
"7","184317.74"
"3","158553.1"
"6","95686.42"
"2","71682.54"
"4","1790.48"
"9","139431"
"4","118358.54"
"7","130827.88"
"6","119404.63"
"5","172665.21"
"3","170142.09"
"7","73977.23"
"9","60906.12"
"1","194867.27"
"4","193716.56"
"6","14633.35"
"10","20063.63"
"7","99792.82"
"6","37654.31"
"3","192449.02"
"4","181208.47"
"5","155165.61"
"10","121504.18"
"4","61569.07"
"4","123269.71"
"1","31272.14"
"3","62825.03"
"9","184056.45"
"3","48924.73"
"3","191111.02"
"1","54184.06"
"5","64381.33"
"6","78770.86"
"1","116766.79"
"7","32916.29"
"9","50972.6"
"8","122066.5"
"3","65996.9"
"2","79577.38"
"6","130529.13"
"4","172629.67"
"7","15216.53"
"2","17512.53"
"7","131852.01"
"5","181945.52"
"6","91482.5"
"9","77119.45"
"5","95611.74"
"7","80428.42"
"7","163714.92"
"6","27375.15"
"4","73873.65"
"8","139266.48"
"8","131772.51"
"7","173454.07"
"7","67552.71"
"5","34765.33"
"5","120219.14"
"9","90212.38"
"7","164975.82"
"10","1285.81"
"9","83679.46"
"2","34548.74"
"7","74275.08"
"2","7278.57"
"3","199336.63"
"2","62347.71"
"5","91711.66"
"10","79240.9"
"8","76679.6"
"1","162511.55"
"3","21360.88"
"2","54487.43"
"9","53931.05"
"10","146359.81"
"3","28370.95"
"2","10023.15"
"10","192928.82"
"8","50485.7"
"2","131662.47"
"7","152235.3"
"8","68093.23"
"3","80061.31"
"2","149583.67"
"5","7631.27"
"4","33082.81"
"3","121883.87"
"5","100722.72"
"2","47093.11"
"7","177624.01"
"6","106149.48"
"2","16874.92"
"7","54560.79"
"2","153605.75"
"8","44390.38"
"3","63218.85"
"3","41626.78"
"3","24765.53"
"6","28280.8"
"8","89043.19"
"7","17294.12"
"3","126702.41"
"8","13123.41"
"1","167973.63"
"9","125870.79"
"5","91972.49"
"10","155593.74"
"5","67788.49"
"7","62615.35"
"2","107415.02"
"7","166526.26"
"4","120107.1"
"3","188227.8"
"6","91560.63"
"6","166495.2"
"5","165614.4"
"2","86372.24"
"7","2755.53"
"3","83594.51"
"3","103706.41"
"9","5924.38"
"5","58203.67"
"7","49361.84"
"7","73585.18"
"6","95135.27"
"4","38794.57"
"3","198926.36"
"9","56099.86"
"3","62083"
"4","141822.8"
"10","185387.14"
"4","57461.13"
"3","120380.12"
"8","133020.9"
"7","13589.93"
"7","77830.36"
"4","136610.02"
"8","17160.94"
"7","176843.53"
"8","114996.33"
"8","196990.79"
"9","133146.03"
"3","185667.72"
"6","24020.49"
"8","185750.02"
"6","178045.97"
"4","199857.47"
"10","43595.9"
"3","122810.53"
"5","3440.47"
"3","35989.41"
"10","17163.75"
"8","44506.09"
"8","17848.3"
"7","76209.56"
"4","141476.56"
"2","100686.11"
"9","96429.29"
"4","15795.88"
"8","116547.31"
"2","191260.74"
"9","173870.39"
"7","117273.35"
"4","44244.49"
"3","78133.48"
"5","103402.88"
"9","137835.82"
"2","20670.1"
"8","77469.38"
"6","57572.38"
"4","75884.65"
"6","146955.71"
"2","67040.12"
"2","178418.35"
"9","30807.02"
"5","143835.76"
"7","130883.9"
"4","194343.72"
"4","9796.69"
"10","47310.24"
"5","141148.21"
"7","111138.25"
"8","114182.07"
"2","127560.77"
"9","18082.06"
"2","136330.26"
"5","34121.81"
"5","56246.69"
"9","191417.42"
"1","23317.88"
"8","144675.3"
"2","175161.05"
"4","14928.8"
"9","161479.19"
"5","133501.94"
"8","23703.52"
"3","115985.38"
"2","43229.2"
"4","94862.93"
"1","142377.69"
"9","135635.25"
"8","148487.9"
"1","58976.85"
"9","76254.83"
"9","55857.48"
"7","77867.23"
"10","22878.16"
"6","114469.55"
"8","96754.8"
"6","125154.57"
"10","113597.64"
"7","121408.55"
"2","109219.43"
"5","50230.31"
"4","177719.88"
"6","131211.86"
"3","82152.83"
"10","216.27"
"3","1713.1"
"7","136910.18"
"7","20243.97"
"2","86043.27"
"8","126561.07"
"4","64350.8"
"2","10472.31"
"10","95941.55"
"10","125222.36"
"4","170950.58"
"1","236.45"
"5","31517.16"
"6","181610.6"
"3","156593.09"
"7","4272"
"3","175843.68"
"1","166164.3"
"1","61796.64"
"4","21439.49"
"1","19225.85"
"8","132547.02"
"6","62688.55"
"8","21760.96"
"5","154460.68"
"2","8065"
"5","173365.9"
"8","69428.79"
"5","12757.14"
"8","180426.2"
"8","43093.67"
"1","68594"
"1","197996.65"
"10","122953"
"4","76821.24"
"4","141400.51"
"6","41921.75"
"8","175664.25"
"8","117916.63"
"7","194690.77"
"9","166677.35"
"3","160131.58"
"6","123622"
"7","113483.96"
"8","79618.79"
"9","24472.23"
"7","177025.79"
"8","103349.74"
"1","63606.22"
"7","14490.79"
"5","105080.53"
"5","83499.89"
"8","143598.7"
"4","36091.91"
"10","13007.89"
"3","6101.41"
"6","48314"
"6","197111.99"
"2","110299.78"
"10","98894.64"
"2","49826.68"
"8","10074.05"
"6","20769.88"
"7","163427.18"
"6","140068.77"
"8","83206.19"
"3","111402.97"
"5","92873.5"
"6","94780.9"
"1","16607.15"
"8","161954.43"
"6","194733.28"
"4","163524.7"
"8","48260.19"
"8","86678.48"
"5","3064.65"
"8","112124.98"
"2","120801.65"
"6","52193.23"
"1","56636.28"
"3","69372.88"
"4","164038.07"
"9","118982.51"
"8","27472.07"
"8","36754.13"
"4","46416.36"
"8","152872.39"
"1","165227.23"
"5","75927.35"
"4","172930.28"
"6","36108.5"
"7","36202.74"
"6","131886.46"
"1","133992.36"
"2","96658.26"
"8","135112.09"
"4","163944.18"
"2","53843.71"
"7","122398.84"
"1","64804.04"
"8","19370.73"
"4","126192.54"
"7","135459.02"
"10","94815.04"
"2","188366.04"
"1","178512.52"
"10","72861.94"
"4","195978.86"
"6","19448.93"
"5","32635.54"
"8","171733.22"
"1","46176.22"
"9","179634.69"
"6","191521.32"
"8","67998.45"
"1","44731.8"
"1","124532.9"
"5","160968.44"
"3","27341.63"
"6","53994.64"
"10","91633.53"
"2","189613.12"
"9","60706.33"
"8","154767.34"
"7","196853.11"
"8","195775.48"
"6","3086.89"
"7","70618"
"1","55034.02"
"8","168035.62"
"3","128449.33"
"6","199249.29"
"4","149474.69"
"7","126726.33"
"7","147554.26"
"7","149399.7"
"5","93536.38"
"6","58883.91"
"3","154271.41"
"7","122022.89"
"6","50299.14"
"4","187800.63"
"7","171344.09"
"5","40920.59"
"8","63940.68"
"1","29483.87"
"2","179056.23"
"8","129273.94"
"4","55558.51"
"8","23305.85"
"1","17128.64"
"9","74641.9"
"2","154486.01"
"4","3185.67"
"2","88463.63"
"8","65682.93"
"9","117232.9"
"3","116137.01"
"3","105533.96"
"9","81514.06"
"6","164966.27"
